Date,Close, Volume, Open, High, Low
2/6/13,1678.8,86434,1673.4,1680.5,1668.8
2/5/13,1673.5,146186,1675.5,1687,1667.2
2/4/13,1676.4,102986,1669.1,1678.6,1661.8
2/1/13,1670.6,163722,1672,1683,1660.6
1/31/13,1662,145848,1677,1681.7,1658.4
1/30/13,1681.6,168167,1674,1685,1663.5
1/29/13,1662.7,109862,1656,1667.1,1655.6
1/28/13,1655,90420,1660.9,1663.6,1653.2
1/25/13,1656.6,146094,1667,1671.6,1655
1/24/13,1669.9,167835,1683.8,1685.8,1664.2
1/23/13,1686.7,123671,1691.7,1694.8,1683.1
1/22/13,1693.2,154313,1689.2,1695.9,1684.8
1/18/13,1687,105387,1687.4,1695.1,1683.3
1/17/13,1690.8,187529,1680.5,1697.8,1666.4
1/16/13,1683.2,128637,1679.7,1684.7,1673
1/15/13,1683.9,138663,1667.8,1684.9,1666.2
1/14/13,1669.4,115943,1671.8,1674.8,1659.5
1/11/13,1660.6,160079,1673.5,1676.9,1653.1
1/10/13,1678,138763,1658,1678.8,1653.8
1/9/13,1655.5,118775,1659.9,1666,1651.3
1/8/13,1662.2,131158,1647.6,1662.7,1646.8
1/7/13,1646.3,127739,1656.3,1663,1642.6
1/4/13,1648.9,227267,1663.8,1664.5,1626
1/3/13,1674.6,129329,1686.2,1690.5,1661.2
1/2/13,1688.8,109710,1676.4,1695.4,1670.9
12/31/12,1675.8,79290,1655.9,1681,1655.9
12/28/12,1655.9,68020,1664,1667,1654.1
12/27/12,1663.7,84620,1659.8,1666.1,1653.1
12/26/12,1660.7,48866,1657.4,1668.7,1650.6
12/24/12,1659.5,40829,1658,1666.5,1652.7
12/21/12,1660.1,121547,1648.5,1660.5,1636.3
12/20/12,1645.9,173650,1667.9,1672.8,1636
12/19/12,1667.7,140117,1671.7,1677.8,1664.2
12/18/12,1670.7,164168,1698.5,1704.4,1662
12/17/12,1698.2,84622,1698.4,1701,1687.5
12/14/12,1697,76187,1699.6,1701.9,1694
12/13/12,1696.8,153389,1712.8,1712.8,1690.7
12/12/12,1717.9,154286,1712,1725,1708.5
12/11/12,1709.6,72437,1713.9,1715.8,1706
12/10/12,1714.4,76394,1718,1718.8,1703.3
12/7/12,1705.5,131946,1701.3,1706.9,1684.1
12/6/12,1701.8,133872,1695.7,1704.8,1687.1
12/5/12,1693.8,140887,1697.7,1708.3,1686
12/4/12,1695.8,178848,1701,1719.2,1692.6
12/3/12,1721.1,92921,1715.5,1724.9,1714.2
11/30/12,1712.7,132848,1728,1733.7,1710.2
11/29/12,1729.5,164158,1722.4,1731.2,1720.1
11/28/12,1718.8,180393,1743.9,1745.5,1707.9
11/27/12,1742.3,173229,1749.3,1751.9,1741.2
11/26/12,1749.6,143129,1751.5,1752.3,1746
11/23/12,1751.4,153170,1745.2,1755,1727.6
11/21/12,1728.2,119223,1727.8,1732,1718.4
11/20/12,1723.6,114560,1731.5,1736,1721.8
11/19/12,1734.4,114788,1714.4,1735.5,1713.4
11/16/12,1714.7,126029,1715.5,1717.2,1705.6
11/15/12,1713.8,167130,1727.2,1727.9,1704.5
11/14/12,1730.1,129679,1725.3,1734.1,1720.5
11/13/12,1724.8,132265,1729,1733.3,1717.6
11/12/12,1730.9,100825,1731.8,1738,1725.2
11/9/12,1730.9,137819,1731.5,1739.4,1726.9
11/8/12,1726,147342,1714.8,1735.1,1712.6
11/7/12,1714,241179,1715.8,1733,1703
11/6/12,1715,163585,1685.4,1720.9,1683.5
11/5/12,1683.2,109647,1676.7,1686.2,1672.5
11/2/12,1675.2,205777,1715.6,1717.2,1674.8
11/1/12,1715.5,105904,1720.4,1727.5,1715.1
10/31/12,1719.1,110928,1710.3,1726.6,1709.8
10/30/12,1712.1,53420,1710.3,1715.7,1705.2
10/26/12,1708.7,52897,1712.2,1717.8,1706.2
10/25/12,1713,117006,1702.8,1718.9,1702.3
10/24/12,1701.6,124555,1710.2,1715.2,1698.7
10/23/12,1709.4,136384,1729.8,1731.2,1704.6
10/22/12,1726.3,98774,1722.7,1730.3,1714.4
10/19/12,1724,141000,1742.4,1744.7,1716
10/18/12,1744.7,97471,1750.9,1753.4,1739
10/17/12,1753,102388,1750,1755,1744
10/16/12,1746.3,95244,1738,1748.9,1736.1
10/15/12,1737.6,157566,1755.2,1755.5,1729.7
10/12/12,1759.7,118367,1769.7,1775,1753.5
10/11/12,1770.6,107821,1764.9,1776.6,1760.2
10/10/12,1765.1,115505,1766,1767.6,1760.4
10/9/12,1765,129653,1777.8,1781.6,1762
10/8/12,1775.7,1218,1777.8,1778.4,1775.8
10/5/12,1780.8,142863,1780.5,1798.1,1774.5
10/4/12,1796.5,148343,1780,1797.7,1779.9
10/3/12,1779.8,109245,1776.2,1784,1773
10/2/12,1775.6,105853,1780,1786.6,1772.3
